mode,epoch,step,ce,l_over,l_under,r_hedge,tcl_total,n_volatile,pred_confident_frac,c_hat_grad_norm
broken,0,0,8.421815872192383,0.009999998845160007,0.0612499974668026,0.0,8.457441329956055,4,0.25,0.0
broken,0,1,6.254025936126709,0.04500000178813934,0.019999997690320015,0.004049539566040039,6.287740707397461,4,0.0,0.0
broken,0,2,6.197334289550781,0.0,0.02250000089406967,0.0008692741394042969,6.208845138549805,4,0.0,0.0
broken,0,3,5.544049263000488,0.0,0.1666666716337204,0.0004209280014038086,5.627509117126465,3,0.0,0.0
broken,0,4,5.211219310760498,0.0,0.5724999904632568,0.0008013248443603516,5.49770975112915,4,0.0,0.0
broken,0,5,4.340153217315674,0.0833333358168602,0.040833331644535065,0.0014605522155761719,4.402674674987793,3,0.75,0.0
broken,0,6,4.6099348068237305,0.125,0.0,0.0030736923217773438,4.673357009887695,4,1.0,0.0
broken,0,7,3.9795100688934326,0.0625,0.0,0.006371855735778809,4.01267147064209,4,1.0,0.0
broken,0,8,4.257450103759766,0.013333331793546677,0.0,0.011212468147277832,4.267480373382568,3,1.0,0.0
broken,0,9,3.706651449203491,0.125,0.0,0.015749454498291016,3.773876190185547,4,1.0,0.0
broken,0,10,3.575453519821167,0.1875,0.0,0.021768808364868164,3.675734043121338,4,1.0,0.0
broken,0,11,3.7033393383026123,0.009999998845160007,0.0,0.02434360980987549,3.7156424522399902,4,1.0,0.0
broken,0,12,4.422410011291504,0.25,0.0,0.026611804962158203,4.555393695831299,4,1.0,0.0
broken,0,13,3.212724447250366,0.19749999046325684,0.0,0.029650449752807617,3.3203694820404053,4,1.0,0.0
broken,0,14,3.9792628288269043,0.125,0.0,0.024747133255004883,4.049187183380127,4,1.0,0.0
broken,0,15,3.2403435707092285,0.0833333358168602,0.0,0.03190505504608154,3.291581869125366,3,1.0,0.0
broken,0,16,3.755436658859253,0.0833333358168602,0.0,0.032416343688964844,3.806828260421753,3,1.0,0.0
broken,0,17,4.011712551116943,0.125,0.0,0.031406402587890625,4.083634376525879,4,1.0,0.0
broken,0,18,2.4190433025360107,0.25,0.0,0.027796268463134766,2.552382230758667,2,1.0,0.0
broken,0,19,3.642893075942993,0.125,0.0,0.02631092071533203,3.7132863998413086,4,1.0,0.0
broken,0,20,3.704977512359619,0.1875,0.0,0.03076910972595215,3.8079581260681152,4,1.0,0.0
broken,0,21,3.446169137954712,0.25,0.0,0.03253316879272461,3.5809290409088135,4,1.0,0.0
broken,0,22,3.7907047271728516,0.07249999791383743,0.0,0.029580235481262207,3.8358287811279297,4,1.0,0.0
broken,0,23,3.5423450469970703,0.125,0.0,0.026221275329589844,3.6127114295959473,4,1.0,0.0
broken,0,24,3.737635850906372,0.07249999791383743,0.0,0.029108643531799316,3.782618522644043,4,1.0,0.0
broken,0,25,3.1729841232299805,0.09666666388511658,0.0,0.028023958206176758,3.229724645614624,3,1.0,0.0
broken,1,26,1.3848140239715576,0.18000000715255737,0.0,0.029766321182250977,1.4837439060211182,3,1.0,0.0
broken,1,27,1.6327908039093018,0.1875,0.0,0.02588486671447754,1.7343062162399292,4,1.0,0.0
broken,1,28,0.9404876232147217,0.019999997690320015,0.0,0.022867321968078613,0.9573478102684021,4,1.0,0.0
broken,1,29,0.9432640075683594,0.125,0.0,0.019634008407592773,1.011654257774353,4,0.75,0.0
broken,1,30,1.803215742111206,0.0,0.0625,0.017064809799194336,1.8395851850509644,4,0.25,0.0
broken,1,31,1.1674267053604126,0.0,0.0625,0.018648743629455566,1.2042713165283203,4,0.0,0.0
broken,1,32,1.3057266473770142,0.0,0.08500000089406967,0.01959860324859619,1.3541061878204346,4,0.0,0.0
broken,1,33,1.5020248889923096,0.0,0.0625,0.02117300033569336,1.5396268367767334,4,0.0,0.0
broken,1,34,0.9141020178794861,0.0,0.0833333358168602,0.026617050170898438,0.9637538194656372,3,0.25,0.0
broken,1,35,1.3709805011749268,0.0,0.030000001192092896,0.029500961303710938,1.3948308229446411,3,0.0,0.0
broken,1,36,0.9046029448509216,0.0,0.1875,0.03491091728210449,1.0088262557983398,4,0.0,0.0
broken,1,37,0.5241866707801819,0.0,0.0,0.032529592514038086,0.5339455604553223,2,0.0,0.0
broken,1,38,0.9262527227401733,0.0,0.0625,0.03430366516113281,0.9677938222885132,4,0.0,0.0
broken,1,39,1.1495347023010254,0.0,0.25,0.03458356857299805,1.284909725189209,3,0.25,0.0
