[mlx] loaded 8008 raw examples

[mlx] === condition: fixed ===
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 34348.26it/s]
[mlx] hedge ids (no resize): [151665, 151666, 151667, 151668]
[mlx] adapted output projection: lm_head (untied)
Trainable parameters: 0.168% (12.780M/7615.617M)
[mlx] 8008 examples after tokenisation (max_len=128)
[mlx] hedge-head check: logit spread=0.000000 contrast_grad_norm=2406.961426
[mlx] fixed pre-train (n=8008) acc=0.4384 majority=0.4995 dist={'[CONFIDENT]': 1.0, '[COND_CONFIDENT]': 0.0, '[TEMPORAL_HEDGE]': 0.0, '[UNKNOWN]': 0.0}
[mlx] fixed step 0 ce=13.1913 total=13.1913 grad=0.7311413884162903 conf_frac=1.000 (1s)
[mlx] fixed step 50 ce=1.9223 total=1.9223 grad=8.327410697937012 conf_frac=0.000 (37s)
[mlx] fixed step 100 ce=2.0218 total=2.0218 grad=8.218266487121582 conf_frac=0.000 (72s)
[mlx] fixed step 150 ce=1.7127 total=1.7127 grad=27.39299201965332 conf_frac=0.000 (107s)
[mlx] fixed step 200 ce=1.4807 total=1.4807 grad=21.664474487304688 conf_frac=0.750 (142s)
[mlx] fixed step 250 ce=1.2174 total=1.2174 grad=30.2056827545166 conf_frac=1.000 (179s)
[mlx] fixed step 300 ce=1.4222 total=1.4222 grad=1.0796948671340942 conf_frac=1.000 (216s)
[mlx] fixed step 350 ce=2.8347 total=2.8347 grad=11.31534481048584 conf_frac=0.250 (252s)
[mlx] fixed step 400 ce=1.5737 total=1.5737 grad=2.477186679840088 conf_frac=0.750 (289s)
[mlx] fixed step 450 ce=2.1676 total=2.1676 grad=8.259745597839355 conf_frac=0.500 (327s)
[mlx] fixed step 500 ce=2.5091 total=2.5091 grad=1.8126182556152344 conf_frac=0.500 (366s)
[mlx] fixed step 550 ce=2.7361 total=2.7361 grad=2.9350385665893555 conf_frac=0.500 (404s)
[mlx] fixed step 600 ce=2.2112 total=2.2112 grad=1.6799941062927246 conf_frac=0.750 (442s)
[mlx] fixed step 650 ce=2.1785 total=2.1785 grad=3.0474767684936523 conf_frac=0.250 (481s)
[mlx] fixed step 700 ce=2.0958 total=2.0958 grad=0.008776509203016758 conf_frac=0.000 (520s)
[mlx] fixed step 750 ce=1.7092 total=1.7092 grad=1.0213226079940796 conf_frac=0.250 (559s)
[mlx] fixed step 800 ce=2.5463 total=2.5463 grad=0.8119212985038757 conf_frac=0.250 (599s)
[mlx] fixed step 850 ce=1.9534 total=1.9534 grad=11.093213081359863 conf_frac=0.250 (636s)
[mlx] fixed step 900 ce=1.3919 total=1.3919 grad=9.77867317199707 conf_frac=0.750 (675s)
[mlx] fixed step 950 ce=1.5550 total=1.5550 grad=3.3976383209228516 conf_frac=0.750 (713s)
[mlx] fixed step 1000 ce=2.1199 total=2.1199 grad=2.6573987007141113 conf_frac=0.500 (752s)
[mlx] fixed step 1050 ce=3.1709 total=3.1709 grad=1.5051355361938477 conf_frac=0.500 (790s)
[mlx] fixed step 1100 ce=1.6349 total=1.6349 grad=2.0748183727264404 conf_frac=0.500 (828s)
[mlx] fixed step 1150 ce=2.1527 total=2.1527 grad=0.7062404155731201 conf_frac=0.250 (868s)
[mlx] fixed step 1200 ce=1.7567 total=1.7567 grad=1.4272255897521973 conf_frac=0.750 (907s)
[mlx] fixed step 1250 ce=1.7226 total=1.7226 grad=10.94640064239502 conf_frac=0.500 (946s)
[mlx] fixed step 1300 ce=2.8226 total=2.8226 grad=1.6494930982589722 conf_frac=0.500 (984s)
[mlx] fixed step 1350 ce=1.7436 total=1.7436 grad=1.8227466344833374 conf_frac=0.750 (1022s)
[mlx] fixed step 1400 ce=1.2061 total=1.2061 grad=0.0014422086533159018 conf_frac=0.000 (1061s)
[mlx] fixed step 1450 ce=1.2231 total=1.2231 grad=0.6439316272735596 conf_frac=0.750 (1102s)
[mlx] fixed step 1500 ce=1.1896 total=1.1896 grad=0.0003799887781497091 conf_frac=0.000 (1141s)
[mlx] fixed step 1550 ce=1.9055 total=1.9055 grad=11.170024871826172 conf_frac=0.500 (1179s)
[mlx] fixed step 1600 ce=1.2848 total=1.2848 grad=3.225898027420044 conf_frac=0.500 (1217s)
[mlx] fixed step 1650 ce=0.8495 total=0.8495 grad=1.37821364402771 conf_frac=0.750 (1257s)
[mlx] fixed step 1700 ce=1.8770 total=1.8770 grad=2.815288782119751 conf_frac=0.500 (1297s)
[mlx] fixed step 1750 ce=0.9113 total=0.9113 grad=0.14541731774806976 conf_frac=0.250 (1337s)
[mlx] fixed step 1800 ce=1.4180 total=1.4180 grad=0.5020082592964172 conf_frac=0.500 (1380s)
[mlx] fixed step 1850 ce=1.6726 total=1.6726 grad=2.766313314437866 conf_frac=0.500 (1421s)
[mlx] fixed step 1900 ce=2.2105 total=2.2105 grad=2.279874563217163 conf_frac=1.000 (1461s)
[mlx] fixed step 1950 ce=1.5983 total=1.5983 grad=10.611591339111328 conf_frac=1.000 (1501s)
[mlx] fixed step 2000 ce=1.6761 total=1.6761 grad=9.0448579788208 conf_frac=0.750 (1541s)
[mlx] fixed step 2050 ce=0.8843 total=0.8843 grad=0.08655377477407455 conf_frac=0.250 (1581s)
[mlx] fixed step 2100 ce=1.5566 total=1.5566 grad=4.516685485839844 conf_frac=0.500 (1623s)
[mlx] fixed step 2150 ce=1.2447 total=1.2447 grad=9.708322525024414 conf_frac=0.750 (1664s)
[mlx] fixed step 2200 ce=1.1379 total=1.1379 grad=7.287387847900391 conf_frac=0.500 (1704s)
[mlx] fixed step 2250 ce=0.9189 total=0.9189 grad=9.202605724567547e-05 conf_frac=0.000 (1746s)
[mlx] fixed step 2300 ce=1.5867 total=1.5867 grad=4.176911354064941 conf_frac=0.500 (1787s)
[mlx] fixed step 2350 ce=1.8816 total=1.8816 grad=0.25747236609458923 conf_frac=0.250 (1828s)
[mlx] fixed step 2400 ce=1.0173 total=1.0173 grad=0.8895576000213623 conf_frac=0.500 (1868s)
[mlx] fixed step 2450 ce=1.3735 total=1.3735 grad=0.3710896074771881 conf_frac=0.250 (1909s)
[mlx] fixed step 2500 ce=0.7962 total=0.7962 grad=6.539843559265137 conf_frac=0.750 (1948s)
[mlx] fixed step 2550 ce=1.5097 total=1.5097 grad=1.1648496389389038 conf_frac=0.500 (1987s)
[mlx] fixed step 2600 ce=0.8652 total=0.8652 grad=5.1773362159729 conf_frac=0.750 (2027s)
[mlx] fixed step 2650 ce=1.2317 total=1.2317 grad=9.73495864868164 conf_frac=0.500 (2068s)
[mlx] fixed step 2700 ce=1.5382 total=1.5382 grad=2.334972620010376 conf_frac=0.500 (2109s)
[mlx] fixed step 2750 ce=1.6725 total=1.6725 grad=1.4924983978271484 conf_frac=0.500 (2150s)
[mlx] fixed step 2800 ce=1.7376 total=1.7376 grad=0.4880405068397522 conf_frac=0.500 (2189s)
[mlx] fixed step 2850 ce=1.2577 total=1.2577 grad=0.22019729018211365 conf_frac=0.250 (2231s)
[mlx] fixed step 2900 ce=0.6254 total=0.6254 grad=8.114950180053711 conf_frac=0.750 (2271s)
[mlx] fixed step 2950 ce=0.9178 total=0.9178 grad=3.0322012901306152 conf_frac=1.000 (2312s)
[mlx] fixed step 3000 ce=1.4691 total=1.4691 grad=5.901092529296875 conf_frac=0.250 (2353s)
[mlx] fixed step 3050 ce=0.9688 total=0.9688 grad=0.3979591131210327 conf_frac=0.750 (2393s)
[mlx] fixed step 3100 ce=1.4953 total=1.4953 grad=0.05576173961162567 conf_frac=0.250 (2433s)
[mlx] fixed step 3150 ce=1.8860 total=1.8860 grad=0.0003726367140188813 conf_frac=0.000 (2474s)
[mlx] fixed step 3200 ce=0.9069 total=0.9069 grad=7.116494178771973 conf_frac=0.750 (2516s)
[mlx] fixed step 3250 ce=0.7159 total=0.7159 grad=7.939824104309082 conf_frac=1.000 (2557s)
[mlx] fixed step 3300 ce=1.3354 total=1.3354 grad=0.5307186245918274 conf_frac=0.500 (2596s)
[mlx] fixed step 3350 ce=0.7385 total=0.7385 grad=2.5665385723114014 conf_frac=0.500 (2639s)
[mlx] fixed step 3400 ce=1.1086 total=1.1086 grad=12.752944946289062 conf_frac=0.250 (2678s)
[mlx] fixed step 3450 ce=0.7293 total=0.7293 grad=9.07481575012207 conf_frac=0.750 (2717s)
[mlx] fixed step 3500 ce=2.3996 total=2.3996 grad=6.744019508361816 conf_frac=0.500 (2757s)
[mlx] fixed step 3550 ce=1.3498 total=1.3498 grad=1.4561104774475098 conf_frac=0.500 (2797s)
[mlx] fixed step 3600 ce=0.3807 total=0.3807 grad=0.6988695859909058 conf_frac=0.500 (2838s)
[mlx] fixed step 3650 ce=0.6565 total=0.6565 grad=0.611319899559021 conf_frac=0.750 (2878s)
[mlx] fixed step 3700 ce=1.2159 total=1.2159 grad=9.272430419921875 conf_frac=0.250 (2919s)
[mlx] fixed step 3750 ce=1.5009 total=1.5009 grad=0.0 conf_frac=0.000 (2960s)
[mlx] fixed step 3800 ce=1.6479 total=1.6479 grad=7.573744297027588 conf_frac=0.750 (3000s)
[mlx] fixed step 3850 ce=1.2238 total=1.2238 grad=12.138914108276367 conf_frac=0.750 (3040s)
[mlx] fixed step 3900 ce=1.8802 total=1.8802 grad=3.7379331588745117 conf_frac=0.500 (3082s)
[mlx] fixed step 3950 ce=0.7342 total=0.7342 grad=0.0 conf_frac=0.000 (3122s)
[mlx] fixed step 4000 ce=1.5917 total=1.5917 grad=0.6132213473320007 conf_frac=0.500 (3164s)
[mlx] fixed step 4050 ce=0.9846 total=0.9846 grad=0.10816112160682678 conf_frac=0.250 (3203s)
[mlx] fixed step 4100 ce=0.5804 total=0.5804 grad=3.1840806007385254 conf_frac=0.750 (3244s)
[mlx] fixed step 4150 ce=0.8799 total=0.8799 grad=11.854944229125977 conf_frac=1.000 (3284s)
[mlx] fixed step 4200 ce=0.4808 total=0.4808 grad=0.0002722727076616138 conf_frac=0.000 (3325s)
[mlx] fixed step 4250 ce=0.3444 total=0.3444 grad=0.7538713216781616 conf_frac=0.500 (3367s)
[mlx] fixed step 4300 ce=0.4235 total=0.4235 grad=0.8389478325843811 conf_frac=0.500 (3408s)
[mlx] fixed step 4350 ce=1.0496 total=1.0496 grad=8.5914888381958 conf_frac=0.750 (3451s)
[mlx] fixed step 4400 ce=1.0479 total=1.0479 grad=3.7295053005218506 conf_frac=0.500 (3492s)
[mlx] fixed step 4450 ce=0.4612 total=0.4612 grad=7.434079647064209 conf_frac=0.500 (3532s)
[mlx] fixed step 4500 ce=0.3722 total=0.3722 grad=14.430135726928711 conf_frac=0.750 (3572s)
[mlx] fixed step 4550 ce=0.4537 total=0.4537 grad=0.7084426283836365 conf_frac=0.250 (3613s)
[mlx] fixed step 4600 ce=1.1445 total=1.1445 grad=8.861144065856934 conf_frac=0.250 (3654s)
[mlx] fixed step 4650 ce=0.4209 total=0.4209 grad=0.10367319732904434 conf_frac=0.750 (3695s)
[mlx] fixed step 4700 ce=0.7292 total=0.7292 grad=0.00017199110880028456 conf_frac=0.000 (3734s)
[mlx] fixed step 4750 ce=1.0160 total=1.0160 grad=0.4065486192703247 conf_frac=0.250 (3776s)
[mlx] fixed step 4800 ce=0.9395 total=0.9395 grad=6.524110317230225 conf_frac=0.750 (3819s)
[mlx] fixed step 4850 ce=0.6794 total=0.6794 grad=1.8010082244873047 conf_frac=0.750 (3862s)
[mlx] fixed step 4900 ce=0.4416 total=0.4416 grad=1.0343800783157349 conf_frac=0.500 (3903s)
[mlx] fixed step 4950 ce=0.5899 total=0.5899 grad=0.23007585108280182 conf_frac=0.750 (3945s)
[mlx] fixed step 5000 ce=0.3754 total=0.3754 grad=0.7607160806655884 conf_frac=0.750 (3986s)
[mlx] fixed step 5050 ce=0.4402 total=0.4402 grad=0.14654245972633362 conf_frac=0.250 (4026s)
[mlx] fixed step 5100 ce=0.7447 total=0.7447 grad=5.141459941864014 conf_frac=0.500 (4070s)
[mlx] fixed step 5150 ce=0.7812 total=0.7812 grad=12.462064743041992 conf_frac=1.000 (4111s)
[mlx] fixed step 5200 ce=0.2035 total=0.2035 grad=0.30403226613998413 conf_frac=0.500 (4152s)
[mlx] fixed step 5250 ce=0.6795 total=0.6795 grad=0.5419139862060547 conf_frac=0.500 (4193s)
[mlx] fixed step 5300 ce=1.2788 total=1.2788 grad=0.0467849038541317 conf_frac=0.250 (4236s)
[mlx] fixed step 5350 ce=0.3387 total=0.3387 grad=3.096576690673828 conf_frac=0.500 (4277s)
[mlx] fixed step 5400 ce=0.3248 total=0.3248 grad=6.089908123016357 conf_frac=0.750 (4320s)
