[mlx] loaded 8008 raw examples

[mlx] === condition: fixed ===
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 26033.61it/s]
[mlx] hedge ids (no resize): [151665, 151666, 151667, 151668]
[mlx] adapted output projection: lm_head (untied)
Trainable parameters: 0.168% (12.780M/7615.617M)
[mlx] 8008 examples after tokenisation (max_len=128)
[mlx] hedge-head check: logit spread=0.000000 contrast_grad_norm=2406.961426
[mlx] fixed pre-train (n=8008) acc=0.4384 majority=0.4995 dist={'[CONFIDENT]': 1.0, '[COND_CONFIDENT]': 0.0, '[TEMPORAL_HEDGE]': 0.0, '[UNKNOWN]': 0.0}
[mlx] fixed step 0 ce=13.1913 total=13.2004 grad=0.7311413884162903 conf_frac=1.000 (1s)
[mlx] fixed step 50 ce=1.9255 total=1.9893 grad=15.264284133911133 conf_frac=0.000 (42s)
[mlx] fixed step 100 ce=2.1521 total=2.2015 grad=6.73749303817749 conf_frac=1.000 (82s)
[mlx] fixed step 150 ce=1.7857 total=1.8431 grad=23.145000457763672 conf_frac=0.500 (122s)
[mlx] fixed step 200 ce=1.4072 total=1.4282 grad=3.904120683670044 conf_frac=0.250 (161s)
[mlx] fixed step 250 ce=1.1768 total=1.2417 grad=10.190204620361328 conf_frac=1.000 (203s)
[mlx] fixed step 300 ce=1.4167 total=1.5158 grad=4.988302230834961 conf_frac=1.000 (245s)
[mlx] fixed step 350 ce=2.9745 total=2.9934 grad=3.242783546447754 conf_frac=0.250 (285s)
[mlx] fixed step 400 ce=1.6028 total=1.6359 grad=20.645530700683594 conf_frac=0.750 (326s)
[mlx] fixed step 450 ce=2.3027 total=2.3321 grad=9.419084548950195 conf_frac=0.500 (368s)
[mlx] fixed step 500 ce=2.4987 total=2.5228 grad=9.635453224182129 conf_frac=0.500 (410s)
[mlx] fixed step 550 ce=2.6867 total=2.7107 grad=9.250225067138672 conf_frac=0.500 (451s)
[mlx] fixed step 600 ce=2.2269 total=2.2560 grad=9.246662139892578 conf_frac=0.750 (493s)
[mlx] fixed step 650 ce=2.2691 total=2.3350 grad=7.8469743728637695 conf_frac=0.250 (534s)
[mlx] fixed step 700 ce=2.1925 total=2.2905 grad=1.9618946313858032 conf_frac=0.000 (577s)
[mlx] fixed step 750 ce=1.8272 total=1.8559 grad=6.908970832824707 conf_frac=0.250 (619s)
[mlx] fixed step 800 ce=2.6130 total=2.6756 grad=7.118663787841797 conf_frac=0.250 (662s)
[mlx] fixed step 850 ce=2.0412 total=2.0805 grad=5.8455095291137695 conf_frac=0.250 (704s)
[mlx] fixed step 900 ce=1.4402 total=1.4911 grad=11.344204902648926 conf_frac=0.750 (745s)
[mlx] fixed step 950 ce=1.6486 total=1.6937 grad=11.4447603225708 conf_frac=0.750 (789s)
[mlx] fixed step 1000 ce=2.0776 total=2.1239 grad=4.651978015899658 conf_frac=0.500 (833s)
[mlx] fixed step 1050 ce=3.2478 total=3.2765 grad=11.82278060913086 conf_frac=0.500 (875s)
[mlx] fixed step 1100 ce=1.7216 total=1.7463 grad=7.480053901672363 conf_frac=0.500 (919s)
[mlx] fixed step 1150 ce=2.1590 total=2.1840 grad=4.880269527435303 conf_frac=0.250 (963s)
[mlx] fixed step 1200 ce=1.7222 total=1.7623 grad=18.586885452270508 conf_frac=0.750 (1007s)
[mlx] fixed step 1250 ce=1.8255 total=1.8498 grad=1.5449013710021973 conf_frac=0.500 (1050s)
[mlx] fixed step 1300 ce=2.9489 total=2.9696 grad=9.128496170043945 conf_frac=0.500 (1091s)
[mlx] fixed step 1350 ce=1.8420 total=1.8860 grad=12.721833229064941 conf_frac=0.750 (1133s)
[mlx] fixed step 1400 ce=1.3658 total=1.4422 grad=1.134909987449646 conf_frac=0.000 (1178s)
[mlx] fixed step 1450 ce=1.4475 total=1.4839 grad=13.619582176208496 conf_frac=0.750 (1223s)
[mlx] fixed step 1500 ce=1.2627 total=1.3410 grad=2.15138578414917 conf_frac=0.000 (1266s)
[mlx] fixed step 1550 ce=1.9700 total=1.9998 grad=2.0196146965026855 conf_frac=0.500 (1307s)
[mlx] fixed step 1600 ce=1.2416 total=1.2721 grad=2.6342668533325195 conf_frac=0.500 (1347s)
[mlx] fixed step 1650 ce=0.8707 total=0.9400 grad=7.78920316696167 conf_frac=0.750 (1389s)
[mlx] fixed step 1700 ce=1.9068 total=1.9351 grad=8.853456497192383 conf_frac=0.500 (1429s)
[mlx] fixed step 1750 ce=0.9439 total=0.9858 grad=3.327329635620117 conf_frac=0.250 (1471s)
[mlx] fixed step 1800 ce=1.4747 total=1.4982 grad=5.78642463684082 conf_frac=0.500 (1515s)
[mlx] fixed step 1850 ce=1.7395 total=1.7605 grad=7.10569429397583 conf_frac=0.500 (1557s)
[mlx] fixed step 1900 ce=2.3787 total=2.5038 grad=12.359663009643555 conf_frac=1.000 (1600s)
[mlx] fixed step 1950 ce=1.6609 total=1.7301 grad=20.502342224121094 conf_frac=1.000 (1642s)
[mlx] fixed step 2000 ce=1.5944 total=1.6396 grad=13.094757080078125 conf_frac=0.750 (1683s)
[mlx] fixed step 2050 ce=0.9720 total=0.9891 grad=5.2327189445495605 conf_frac=0.250 (1725s)
[mlx] fixed step 2100 ce=1.5464 total=1.5887 grad=2.6350297927856445 conf_frac=0.500 (1770s)
[mlx] fixed step 2150 ce=1.3546 total=1.3883 grad=14.638324737548828 conf_frac=0.750 (1812s)
[mlx] fixed step 2200 ce=1.1429 total=1.1785 grad=4.658605098724365 conf_frac=0.500 (1853s)
[mlx] fixed step 2250 ce=1.0830 total=1.1611 grad=0.7486730813980103 conf_frac=0.000 (1897s)
[mlx] fixed step 2300 ce=1.6573 total=1.6937 grad=8.186210632324219 conf_frac=0.500 (1941s)
[mlx] fixed step 2350 ce=1.9761 total=2.0017 grad=2.6330246925354004 conf_frac=0.250 (1984s)
[mlx] fixed step 2400 ce=1.2047 total=1.2299 grad=6.46366548538208 conf_frac=0.500 (2027s)
[mlx] fixed step 2450 ce=1.3500 total=1.3956 grad=5.884881019592285 conf_frac=0.250 (2070s)
[mlx] fixed step 2500 ce=0.8252 total=0.9046 grad=1.9740878343582153 conf_frac=0.750 (2110s)
[mlx] fixed step 2550 ce=1.5496 total=1.5766 grad=8.5972261428833 conf_frac=0.500 (2151s)
[mlx] fixed step 2600 ce=0.9463 total=1.0381 grad=1.7677135467529297 conf_frac=0.750 (2191s)
[mlx] fixed step 2650 ce=1.2335 total=1.2614 grad=7.143311500549316 conf_frac=0.500 (2233s)
[mlx] fixed step 2700 ce=1.6333 total=1.6834 grad=1.5042378902435303 conf_frac=0.750 (2276s)
[mlx] fixed step 2750 ce=1.7036 total=1.7352 grad=3.6530158519744873 conf_frac=0.500 (2318s)
[mlx] fixed step 2800 ce=1.7873 total=1.8214 grad=4.871016979217529 conf_frac=0.500 (2356s)
[mlx] fixed step 2850 ce=1.2234 total=1.2589 grad=3.3311476707458496 conf_frac=0.250 (2397s)
[mlx] fixed step 2900 ce=0.7549 total=0.7955 grad=6.135040283203125 conf_frac=0.750 (2436s)
[mlx] fixed step 2950 ce=0.9669 total=1.0944 grad=11.512986183166504 conf_frac=1.000 (2476s)
[mlx] fixed step 3000 ce=1.4476 total=1.5103 grad=4.476975440979004 conf_frac=0.250 (2516s)
[mlx] fixed step 3050 ce=1.0351 total=1.0830 grad=9.782696723937988 conf_frac=0.750 (2557s)
[mlx] fixed step 3100 ce=1.5438 total=1.5613 grad=4.480433464050293 conf_frac=0.250 (2597s)
[mlx] fixed step 3150 ce=1.9928 total=2.1196 grad=2.4542601108551025 conf_frac=0.000 (2636s)
[mlx] fixed step 3200 ce=1.0381 total=1.1131 grad=10.812825202941895 conf_frac=0.750 (2678s)
[mlx] fixed step 3250 ce=0.7500 total=0.8305 grad=19.008106231689453 conf_frac=0.750 (2719s)
[mlx] fixed step 3300 ce=1.4096 total=1.4337 grad=3.8844332695007324 conf_frac=0.500 (2760s)
[mlx] fixed step 3350 ce=0.7383 total=0.7742 grad=8.587946891784668 conf_frac=0.500 (2802s)
[mlx] fixed step 3400 ce=1.1651 total=1.1864 grad=10.5283842086792 conf_frac=0.500 (2843s)
[mlx] fixed step 3450 ce=0.7632 total=0.8099 grad=12.145759582519531 conf_frac=0.750 (2883s)
[mlx] fixed step 3500 ce=2.6887 total=2.7158 grad=6.975581645965576 conf_frac=0.500 (2923s)
[mlx] fixed step 3550 ce=1.3256 total=1.3499 grad=8.403398513793945 conf_frac=0.500 (2963s)
[mlx] fixed step 3600 ce=0.4299 total=0.5052 grad=9.7321138381958 conf_frac=0.500 (3004s)
[mlx] fixed step 3650 ce=0.6177 total=0.7116 grad=8.394170761108398 conf_frac=0.750 (3045s)
[mlx] fixed step 3700 ce=1.3885 total=1.4276 grad=8.775816917419434 conf_frac=0.500 (3088s)
[mlx] fixed step 3750 ce=1.6547 total=1.7624 grad=1.7623995542526245 conf_frac=0.000 (3128s)
[mlx] fixed step 3800 ce=1.7301 total=1.7938 grad=1.5024510622024536 conf_frac=0.750 (3170s)
[mlx] fixed step 3850 ce=1.3190 total=1.3930 grad=9.523297309875488 conf_frac=0.750 (3210s)
[mlx] fixed step 3900 ce=2.0509 total=2.0828 grad=1.4128968715667725 conf_frac=0.500 (3255s)
[mlx] fixed step 3950 ce=0.7987 total=0.8774 grad=4.939733028411865 conf_frac=0.000 (3296s)
[mlx] fixed step 4000 ce=1.6427 total=1.6683 grad=7.374364852905273 conf_frac=0.500 (3339s)
[mlx] fixed step 4050 ce=1.1060 total=1.1334 grad=1.8932545185089111 conf_frac=0.250 (3379s)
[mlx] fixed step 4100 ce=0.6672 total=0.7162 grad=3.8002259731292725 conf_frac=0.750 (3420s)
[mlx] fixed step 4150 ce=1.0439 total=1.1600 grad=6.08174991607666 conf_frac=1.000 (3462s)
[mlx] fixed step 4200 ce=0.4829 total=0.5629 grad=3.0878524780273438 conf_frac=0.000 (3503s)
[mlx] fixed step 4250 ce=0.3669 total=0.3936 grad=8.712592124938965 conf_frac=0.500 (3546s)
[mlx] fixed step 4300 ce=0.3761 total=0.3930 grad=6.075527191162109 conf_frac=0.500 (3587s)
[mlx] fixed step 4350 ce=1.0757 total=1.1124 grad=2.466859817504883 conf_frac=0.750 (3630s)
[mlx] fixed step 4400 ce=1.2551 total=1.3004 grad=1.911134123802185 conf_frac=0.500 (3671s)
[mlx] fixed step 4450 ce=0.4612 total=0.4915 grad=2.5569963455200195 conf_frac=0.500 (3712s)
[mlx] fixed step 4500 ce=0.3577 total=0.4269 grad=9.743974685668945 conf_frac=0.750 (3753s)
[mlx] fixed step 4550 ce=0.6020 total=0.6442 grad=4.0209479331970215 conf_frac=0.250 (3794s)
[mlx] fixed step 4600 ce=1.4129 total=1.4585 grad=5.152186870574951 conf_frac=0.250 (3834s)
[mlx] fixed step 4650 ce=0.6343 total=0.6858 grad=8.728955268859863 conf_frac=0.750 (3875s)
[mlx] fixed step 4700 ce=0.9092 total=0.9567 grad=3.085928201675415 conf_frac=0.000 (3915s)
[mlx] fixed step 4750 ce=1.0872 total=1.1268 grad=4.261175155639648 conf_frac=0.250 (3956s)
[mlx] fixed step 4800 ce=0.8215 total=0.8701 grad=4.825830936431885 conf_frac=0.750 (3999s)
[mlx] fixed step 4850 ce=0.6572 total=0.7195 grad=0.6920438408851624 conf_frac=0.750 (4041s)
[mlx] fixed step 4900 ce=0.4867 total=0.5165 grad=9.308605194091797 conf_frac=0.500 (4084s)
[mlx] fixed step 4950 ce=0.5738 total=0.6482 grad=4.825089454650879 conf_frac=0.750 (4130s)
[mlx] fixed step 5000 ce=0.4827 total=0.5798 grad=7.49232292175293 conf_frac=0.750 (4175s)
[mlx] fixed step 5050 ce=0.4477 total=0.4618 grad=4.1836838722229 conf_frac=0.250 (4220s)
[mlx] fixed step 5100 ce=0.8205 total=0.8463 grad=12.45005989074707 conf_frac=0.500 (4267s)
[mlx] fixed step 5150 ce=0.7301 total=0.8152 grad=17.77542495727539 conf_frac=1.000 (4313s)
[mlx] fixed step 5200 ce=0.2470 total=0.2736 grad=6.249812602996826 conf_frac=0.500 (4353s)
[mlx] fixed step 5250 ce=0.7415 total=0.7763 grad=6.719547748565674 conf_frac=0.500 (4393s)
[mlx] fixed step 5300 ce=1.4123 total=1.4446 grad=3.6523895263671875 conf_frac=0.250 (4435s)
[mlx] fixed step 5350 ce=0.4344 total=0.4595 grad=7.957992076873779 conf_frac=0.500 (4476s)
[mlx] fixed step 5400 ce=0.3149 total=0.3524 grad=12.101399421691895 conf_frac=0.750 (4517s)
